iter	RMSE
0	2.620266144
1	2.590178989
2	2.561390434
3	2.534213908
4	2.507476247
5	2.481375552
6	2.454154373
7	2.429497463
8	2.405082744
9	2.383153815
10	2.364754216
11	2.341539245
12	2.318869183
13	2.295974127
14	2.273622894
15	2.253915933
16	2.23473504
17	2.213988513
18	2.194324093
19	2.177803013
20	2.160283967
21	2.141538599
22	2.12596055
23	2.107445722
24	2.090086373
25	2.073990473
26	2.058559331
27	2.044221171
28	2.029289906
29	2.014308526
30	2.000811204
31	1.987826333
32	1.97382579
33	1.960861328
34	1.948466947
35	1.936192549
36	1.923294958
37	1.910955495
38	1.898267478
39	1.887331935
40	1.876373513
41	1.864626327
42	1.854493259
43	1.843499274
44	1.83314529
45	1.823220269
46	1.813885797
47	1.804870978
48	1.796571956
49	1.787586311
50	1.777879857
51	1.769501351
52	1.760634348
53	1.753949846
54	1.746388473
55	1.738242736
56	1.730973927
57	1.72416143
58	1.716176088
59	1.708935901
60	1.703083066
61	1.69662516
62	1.688828299
63	1.683130247
64	1.677284265
65	1.671210654
66	1.664125915
67	1.657439316
68	1.651675126
69	1.645131996
70	1.639880007
71	1.634600703
72	1.629849572
73	1.624948389
74	1.619179939
75	1.614208053
76	1.609843806
77	1.604472133
78	1.600534348
79	1.596822067
80	1.591242394
81	1.58565988
82	1.581237696
83	1.577331096
84	1.572805133
85	1.567475902
86	1.564271905
87	1.560122521
88	1.556377988
89	1.552688836
90	1.548666052
91	1.544315426
92	1.540243239
93	1.536429236
94	1.53229833
95	1.528633809
96	1.525626325
97	1.52249452
98	1.518566737
99	1.514726852
100	1.511023318
101	1.508606489
102	1.50566487
103	1.503420841
104	1.501077243
105	1.497916046
106	1.494695783
107	1.491771268
108	1.48944006
109	1.486643233
110	1.484034299
111	1.481527363
112	1.47953578
113	1.477421734
114	1.474518261
115	1.472578465
116	1.470643369
117	1.467518749
118	1.465249081
119	1.463323859
120	1.460509687
121	1.458288613
122	1.456311029
123	1.453505573
124	1.451347261
125	1.449607497
126	1.447231764
127	1.444387692
128	1.441781715
129	1.439925921
130	1.437496373
131	1.435369361
132	1.433738233
133	1.432267546
134	1.429596366
135	1.42769632
136	1.426299451
137	1.424697617
138	1.423589507
139	1.421773946
140	1.419836704
141	1.41887442
142	1.417494291
143	1.416155221
144	1.415112217
145	1.41394757
146	1.412169161
147	1.410776691
148	1.408760624
149	1.407653243
150	1.406208909
151	1.403988723
152	1.402531023
153	1.401679533
154	1.399710153
155	1.398588813
156	1.397802695
157	1.396597582
158	1.39508254
159	1.394149321
160	1.392599143
161	1.39108392
162	1.389589075
163	1.38808289
164	1.386523794
165	1.385121022
166	1.383570439
167	1.382189663
168	1.380714941
169	1.379472993
170	1.37866048
171	1.377542497
172	1.376082215
173	1.375185268
174	1.373972114
175	1.37250431
176	1.371553451
177	1.370359526
178	1.369295505
179	1.368523786
180	1.366940293
181	1.366094743
182	1.365529388
183	1.364902735
184	1.364190686
185	1.363168263
186	1.36224526
187	1.361081813
188	1.359925648
189	1.359554187
190	1.358702687
191	1.358054529
192	1.356975479
193	1.356170123
194	1.354995268
195	1.354463891
196	1.35316344
197	1.352469787
198	1.351522029
199	1.35056111
200	1.349432843
201	1.348579819
202	1.34751947
203	1.347012228
204	1.345811884
205	1.344861588
206	1.344078302
207	1.343700773
208	1.342956588
209	1.342342394
210	1.341019624
211	1.339826538
212	1.339241719
213	1.338815918
214	1.337710747
215	1.336392151
216	1.335539824
217	1.334539885
218	1.333995461
219	1.332977705
220	1.332568402
221	1.331781227
222	1.330962662
223	1.330390078
224	1.330047791
225	1.329287001
226	1.328418693
227	1.327634512
228	1.326841084
229	1.325983916
230	1.325477731
231	1.324850346
232	1.324149823
233	1.323555911
234	1.323241946
235	1.322396159
236	1.321717485
237	1.321548206
238	1.32104107
239	1.320222037
240	1.319496121
241	1.319122936
242	1.318675704
243	1.318081035
244	1.317396673
245	1.317125615
246	1.316374131
247	1.315805624
248	1.31513014
249	1.314859815
250	1.314663056
251	1.313951978
252	1.313765983
253	1.313461658
254	1.312714756
255	1.312405659
256	1.312153112
257	1.311652718
258	1.310976682
259	1.310154908
260	1.309801567
261	1.309462303
262	1.308632629
263	1.307971031
264	1.307265995
265	1.306645299
266	1.306349421
267	1.30590979
268	1.305330662
269	1.304963671
270	1.304698473
271	1.304165411
272	1.303748003
273	1.303287263
274	1.302771391
275	1.302416612
276	1.301757816
277	1.301284652
278	1.300823382
279	1.300300976
280	1.29972237
281	1.299170437
282	1.298870195
283	1.298237302
284	1.297752962
285	1.297527778
286	1.297235947
287	1.29662691
288	1.295952143
289	1.295479641
290	1.295054386
291	1.294791906
292	1.294475995
293	1.294171736
294	1.293694565
295	1.293062486
296	1.292469823
297	1.292122364
298	1.291641564
299	1.291038524
300	1.29098587
301	1.290538454
302	1.289831131
303	1.2894447
304	1.288881264
305	1.288260745
306	1.288132289
307	1.287379459
308	1.287011857
309	1.286816564
310	1.286314088
311	1.285668881
312	1.285202413
313	1.284966148
314	1.284799758
315	1.284415852
316	1.284201033
317	1.283920965
318	1.283405024
319	1.28325139
320	1.28288965
321	1.282650109
322	1.282044881
323	1.281637865
324	1.281265059
325	1.28111195
326	1.280683376
327	1.280325142
328	1.280107859
329	1.279748219
330	1.279428525
331	1.279130306
332	1.278753688
333	1.278310182
334	1.27795367
335	1.277491681
336	1.277213905
337	1.276912147
338	1.276426274
339	1.276053473
340	1.275872564
341	1.275711487
342	1.275093101
343	1.274737928
344	1.274074275
345	1.273931988
346	1.273625275
347	1.273240738
348	1.273047596
349	1.27265885
350	1.272075111
351	1.271521439
352	1.271345001
353	1.270878026
354	1.270609793
355	1.270302147
356	1.269816181
357	1.269459593
358	1.269342464
359	1.269029446
360	1.268624914
361	1.268322822
362	1.267902826
363	1.26746407
364	1.266797671
365	1.266279313
366	1.265934061
367	1.265541718
368	1.265157397
369	1.264844794
370	1.264249598
371	1.263977323
372	1.263571064
373	1.263277422
374	1.263145066
375	1.262879752
376	1.262395861
377	1.262172336
378	1.261670229
379	1.26131847
380	1.260925506
381	1.260743913
382	1.260341467
383	1.259981635
384	1.259489206
385	1.259029271
386	1.258785511
387	1.258549273
388	1.258211814
389	1.257999737
390	1.25792476
391	1.257635374
392	1.256903799
393	1.256519393
394	1.256074286
395	1.255877458
396	1.255691453
397	1.255360685
398	1.255078516
399	1.254815554
400	1.254675401
401	1.253737127
402	1.253599007
403	1.253251953
404	1.25288947
405	1.252159055
406	1.251906732
407	1.251473753
408	1.250918334
409	1.250640301
410	1.250065909
411	1.249756682
412	1.249683815
413	1.249367683
414	1.249173868
415	1.248871629
416	1.248466357
417	1.248222736
418	1.247776295
419	1.247508798
420	1.247127187
421	1.246638039
422	1.246330215
423	1.245713704
424	1.24516854
425	1.244927179
426	1.244708988
427	1.244511638
428	1.244284946
429	1.24410389
430	1.244046109
431	1.243843514
432	1.243395585
433	1.242996647
434	1.242501646
435	1.242199588
436	1.241667174
437	1.241259594
438	1.241157607
439	1.2407122
440	1.240636659
441	1.240124543
442	1.239877746
443	1.239551079
444	1.239301687
445	1.239068556
446	1.23866406
447	1.238240127
448	1.237982774
449	1.237877643
450	1.237773227
451	1.237508828
452	1.237318242
453	1.236861485
454	1.236588222
455	1.23631789
456	1.23623428
457	1.236067738
458	1.235846525
459	1.235632715
460	1.235157014
461	1.234969668
462	1.23466752
463	1.234371662
464	1.234123631
465	1.233976625
466	1.233444247
467	1.233232866
468	1.232870792
469	1.232633793
470	1.232326703
471	1.232102585
472	1.231787951
473	1.23132918
474	1.230800318
475	1.230484111
476	1.22993684
477	1.229762862
478	1.229622737
479	1.229349619
480	1.229253009
481	1.228967749
482	1.228725299
483	1.228350374
484	1.228297521
485	1.228088066
486	1.227650409
487	1.227513801
488	1.227205963
489	1.227091049
490	1.226725238
491	1.226396104
492	1.22617667
493	1.226101612
494	1.225768106
495	1.225612063
496	1.225147751
497	1.22504528
498	1.224755701
499	1.224425945
500	1.224247775
501	1.223887885
502	1.223615553
503	1.223148177
504	1.222883372
505	1.222412569
506	1.222006082
507	1.221829615
508	1.221402101
509	1.221221313
510	1.220979498
511	1.220515516
512	1.22038534
513	1.220217874
514	1.219813073
515	1.219637737
516	1.219402323
517	1.219192411
518	1.218902148
519	1.218451427
520	1.218177453
521	1.218093461
522	1.217511603
523	1.217146433
524	1.216822587
525	1.216614047
526	1.216251146
527	1.215901004
528	1.215790916
529	1.215642753
530	1.215406949
531	1.214787638
532	1.214569615
533	1.214268845
534	1.213674215
535	1.213484396
536	1.21330574
537	1.213116652
538	1.212872934
539	1.212616774
540	1.212388169
541	1.211955949
542	1.211789771
543	1.211702935
544	1.211597292
545	1.211180969
546	1.210991449
547	1.210658332
548	1.210433448
549	1.21019692
550	1.209795074
551	1.209157723
552	1.209143428
553	1.209060372
554	1.208742903
555	1.208151466
556	1.207943563
557	1.207806192
558	1.20775595
559	1.207388253
560	1.207019434
561	1.206834504
562	1.20643783
563	1.206262144
564	1.206110127
565	1.205976126
566	1.205810816
567	1.205614604
568	1.205565685
569	1.205087008
570	1.205033204
571	1.204677394
572	1.204372997
573	1.204079482
574	1.203933775
575	1.203729387
576	1.203375008
577	1.203237102
578	1.203054011
579	1.202915261
580	1.202738345
581	1.202455116
582	1.202304161
583	1.201911375
584	1.201844205
585	1.201718113
586	1.201489322
587	1.201391066
588	1.201084837
589	1.200953232
590	1.200619556
591	1.200253802
592	1.200069833
593	1.199666058
594	1.199540383
595	1.199355671
596	1.199236939
597	1.199098592
598	1.198974293
599	1.198806369
600	1.198623231
601	1.198420237
602	1.198282734
603	1.198028054
604	1.197852304
605	1.197795005
606	1.197373426
607	1.197170123
608	1.196671457
609	1.196562034
610	1.196197135
611	1.19601151
612	1.195762139
613	1.195583715
614	1.195273667
615	1.195163478
616	1.194751547
617	1.194661741
618	1.194399009
619	1.194183488
620	1.193851471
621	1.19348154
622	1.193112804
623	1.192944447
624	1.192698043
625	1.192294585
626	1.191863669
627	1.191693625
628	1.191489075
629	1.191228525
630	1.191142218
631	1.190683892
632	1.190530774
633	1.190336097
634	1.189946188
635	1.189643254
636	1.189537535
637	1.189446345
638	1.189178925
639	1.18907132
640	1.188924989
641	1.188800832
642	1.188651452
643	1.188527594
644	1.188361363
645	1.188090318
646	1.187983218
647	1.187753082
648	1.187613159
649	1.187358342
650	1.187213203
651	1.18691133
652	1.186776791
653	1.186539596
654	1.186216793
655	1.185985523
656	1.185622888
657	1.185522989
658	1.18542222
659	1.185302722
660	1.185000329
661	1.184752366
662	1.184535361
663	1.184302011
664	1.184023785
665	1.183948678
666	1.18384159
667	1.183733843
668	1.183630632
669	1.183563646
670	1.183492383
671	1.183154269
672	1.183068269
673	1.182696968
674	1.182571079
675	1.182312293
676	1.182019208
677	1.18169693
678	1.181355065
679	1.181269002
680	1.180974156
681	1.180624059
682	1.18042005
683	1.180194944
684	1.179958347
685	1.179923515
686	1.179846385
687	1.179631613
688	1.17957673
689	1.179381567
690	1.179291228
691	1.179112441
692	1.178992841
693	1.178606826
694	1.178491429
695	1.178344228
696	1.178246574
697	1.178045252
698	1.177959024
699	1.177898416
700	1.177662657
701	1.177434484
702	1.177225084
703	1.176925261
704	1.176779469
705	1.176606067
706	1.176390001
707	1.176149007
708	1.176097555
709	1.175810326
710	1.17571709
711	1.175589516
712	1.175479656
713	1.175350198
714	1.175101558
715	1.17503874
716	1.174990515
717	1.174880762
718	1.174807197
719	1.174682778
720	1.17449519
721	1.174342077
722	1.174269456
723	1.174169189
724	1.174103865
725	1.173837932
726	1.173633456
727	1.173538877
728	1.1733407
729	1.173283349
730	1.173182512
