iter	Passed	Remaining
0	239	238761
1	304	152126
2	379	126087
3	439	109504
4	517	102897
5	578	95781
6	645	91516
7	713	88532
8	775	85441
9	850	84189
10	914	82232
11	971	79970
12	1023	77727
13	1073	75628
14	1133	74419
15	1204	74092
16	1270	73478
17	1326	72381
18	1385	71517
19	1446	70858
20	1504	70144
21	1563	69499
22	1632	69363
23	1705	69363
24	1770	69063
25	1838	68867
26	1897	68370
27	1957	67956
28	2030	67979
29	2091	67626
30	2154	67348
31	2216	67035
32	2280	66815
33	2352	66850
34	2419	66711
35	2488	66627
36	2550	66387
37	2621	66371
38	2684	66140
39	2749	65977
40	2818	65929
41	2880	65700
42	2941	65463
43	3001	65224
44	3083	65448
45	3145	65229
46	3206	65024
47	3264	64740
48	3328	64602
49	3399	64591
50	3463	64442
51	3517	64127
52	3579	63963
53	3651	63974
54	3720	63927
55	3788	63856
56	3847	63648
57	3910	63514
58	3972	63363
59	4039	63283
60	4098	63083
61	4155	62869
62	4219	62761
63	4283	62643
64	4361	62738
65	4433	62743
66	4498	62648
67	4578	62755
68	4642	62634
69	4710	62579
70	4772	62442
71	4836	62340
72	4897	62195
73	4963	62113
74	5039	62154
75	5109	62124
76	5166	61929
77	5226	61785
78	5294	61730
79	5367	61727
80	5434	61652
81	5503	61612
82	5577	61617
83	5639	61498
84	5705	61416
85	5765	61278
86	5825	61133
87	5896	61104
88	5966	61077
89	6027	60945
90	6086	60795
91	6149	60688
92	6214	60603
93	6272	60454
94	6348	60474
95	6405	60320
96	6464	60178
97	6528	60093
98	6593	60008
99	6655	59897
100	6712	59747
101	6769	59596
102	6829	59473
103	6887	59336
104	6950	59243
105	7015	59164
106	7073	59034
107	7144	59006
108	7214	58970
109	7282	58923
110	7345	58830
111	7403	58697
112	7457	58535
113	7511	58376
114	7567	58239
115	7632	58164
116	7695	58075
117	7765	58041
118	7834	58003
119	7903	57955
120	7976	57945
121	8042	57882
122	8104	57783
123	8167	57700
124	8225	57576
125	8283	57455
126	8342	57344
127	8407	57275
128	8485	57293
129	8544	57182
130	8616	57157
131	8686	57123
132	8748	57028
133	8803	56894
134	8873	56854
135	8943	56819
136	9007	56737
137	9080	56720
138	9156	56715
139	9224	56665
140	9284	56560
141	9349	56489
142	9417	56437
143	9491	56419
144	9558	56364
145	9619	56265
146	9682	56183
147	9741	56076
148	9798	55961
149	9857	55857
150	9930	55834
151	9994	55759
152	10053	55654
153	10115	55572
154	10186	55533
155	10243	55419
156	10307	55347
157	10362	55223
158	10426	55147
159	10495	55102
160	10559	55025
161	10634	55011
162	10694	54915
163	10761	54856
164	10828	54796
165	10891	54717
166	10961	54677
167	11018	54568
168	11082	54495
169	11154	54459
170	11232	54455
171	11302	54407
172	11368	54344
173	11427	54249
174	11494	54188
175	11570	54172
176	11639	54122
177	11697	54020
178	11763	53952
179	11827	53883
180	11900	53846
181	11957	53745
182	12018	53657
183	12076	53557
184	12147	53515
185	12215	53460
186	12297	53463
187	12363	53400
188	12419	53291
189	12474	53180
190	12537	53102
191	12622	53119
192	12704	53123
193	12767	53043
194	12829	52961
195	12897	52906
196	12981	52914
197	13053	52873
198	13123	52824
199	13182	52728
200	13265	52732
201	13337	52691
202	13406	52634
203	13465	52543
